COUNTRY,SECTOR,SUBSECTOR,ENERGY_CARRIER,PROPERTY,UNIT,YEAR,VALUE
HU,Buildings,Total,Electricity,Energy Demand,TWh,2019,6.834797934
IE,Buildings,Total,Electricity,Energy Demand,TWh,2019,11.33627568
IT,Buildings,Total,Electricity,Energy Demand,TWh,2019,82.3189092
LT,Buildings,Total,Electricity,Energy Demand,TWh,2019,3.095399957
LU,Buildings,Total,Electricity,Energy Demand,TWh,2019,2.060776663
LV,Buildings,Total,Electricity,Energy Demand,TWh,2019,2.4259821
MT,Buildings,Total,Electricity,Energy Demand,TWh,2019,1.066506114
NL,Buildings,Total,Electricity,Energy Demand,TWh,2019,32.62918556
PL,Buildings,Total,Electricity,Energy Demand,TWh,2019,44.39586147
PT,Buildings,Total,Electricity,Energy Demand,TWh,2019,15.15329219
RO,Buildings,Total,Electricity,Energy Demand,TWh,2019,6.327801472
SE,Buildings,Total,Electricity,Energy Demand,TWh,2019,25.86080865
SI,Buildings,Total,Electricity,Energy Demand,TWh,2019,3.180077187
SK,Buildings,Total,Electricity,Energy Demand,TWh,2019,5.781635645
UK,Buildings,Total,Electricity,Energy Demand,TWh,2019,89.17891391
EU,Buildings,Total,Electricity,Energy Demand,TWh,2019,657.3921774
AT,Buildings,Total,Hydrogen,Energy Demand,TWh,2019,0
BE,Buildings,Total,Hydrogen,Energy Demand,TWh,2019,0
BG,Buildings,Total,Hydrogen,Energy Demand,TWh,2019,0
CY,Buildings,Total,Hydrogen,Energy Demand,TWh,2019,0
CZ,Buildings,Total,Hydrogen,Energy Demand,TWh,2019,0
DE,Buildings,Total,Hydrogen,Energy Demand,TWh,2019,0
DK,Buildings,Total,Hydrogen,Energy Demand,TWh,2019,0
EE,Buildings,Total,Hydrogen,Energy Demand,TWh,2019,0
ES,Buildings,Total,Hydrogen,Energy Demand,TWh,2019,0
FI,Buildings,Total,Hydrogen,Energy Demand,TWh,2019,0
FR,Buildings,Total,Hydrogen,Energy Demand,TWh,2019,0
GR,Buildings,Total,Hydrogen,Energy Demand,TWh,2019,0
HR,Buildings,Total,Hydrogen,Energy Demand,TWh,2019,0
HU,Buildings,Total,Hydrogen,Energy Demand,TWh,2019,0
IE,Buildings,Total,Hydrogen,Energy Demand,TWh,2019,0
IT,Buildings,Total,Hydrogen,Energy Demand,TWh,2019,0
LT,Buildings,Total,Hydrogen,Energy Demand,TWh,2019,0
LU,Buildings,Total,Hydrogen,Energy Demand,TWh,2019,0
LV,Buildings,Total,Hydrogen,Energy Demand,TWh,2019,0
MT,Buildings,Total,Hydrogen,Energy Demand,TWh,2019,0
NL,Buildings,Total,Hydrogen,Energy Demand,TWh,2019,0
PL,Buildings,Total,Hydrogen,Energy Demand,TWh,2019,0
PT,Buildings,Total,Hydrogen,Energy Demand,TWh,2019,0
RO,Buildings,Total,Hydrogen,Energy Demand,TWh,2019,0
SE,Buildings,Total,Hydrogen,Energy Demand,TWh,2019,0
SI,Buildings,Total,Hydrogen,Energy Demand,TWh,2019,0
SK,Buildings,Total,Hydrogen,Energy Demand,TWh,2019,0
UK,Buildings,Total,Hydrogen,Energy Demand,TWh,2019,0
EU,Buildings,Total,Hydrogen,Energy Demand,TWh,2019,0
