PATTERN,AT00Z2IN,AT00Z2RE,AT00Z2TE,AT00Z2TR
"M01,D16,H20",0.0,0.0,0.0,0.0
"M01,D16,H21",0.0,0.0,0.0,0.0
"M01,D16,H22",0.0,0.0,0.0,0.0
"M01,D16,H23",0.0,0.0,0.0,0.0
"M01,D16,H24",0.0,0.0,0.0,0.0
"M01,D17,H1",0.0,0.0,0.0,0.0
"M01,D17,H2",0.0,0.0,0.0,0.0
"M01,D17,H3",0.0,0.0,0.0,0.0
"M01,D17,H4",0.0,0.0,0.0,0.0
"M01,D17,H5",0.0,0.0,0.0,0.0
"M01,D17,H6",0.0,0.0,0.0,0.0
"M01,D17,H7",0.0,0.0,0.0,0.0
"M01,D17,H8",0.0,0.0,0.0,0.0
"M01,D17,H9",0.0,0.0,0.0,0.0
"M01,D17,H10",0.0,0.0,0.0,0.0
"M01,D17,H11",0.0,0.0,0.0,0.0
"M01,D17,H12",0.0,0.0,0.0,0.0
"M01,D17,H13",0.0,0.0,0.0,0.0
"M01,D17,H14",0.0,0.0,0.0,0.0
"M01,D17,H15",0.0,0.0,0.0,0.0
"M01,D17,H16",0.0,0.0,0.0,0.0
"M01,D17,H17",0.0,0.0,0.0,0.0
"M01,D17,H18",0.0,0.0,0.0,0.0
"M01,D17,H19",0.0,0.0,0.0,0.0
"M01,D17,H20",0.0,0.0,0.0,0.0
"M01,D17,H21",0.0,0.0,0.0,0.0
"M01,D17,H22",0.0,0.0,0.0,0.0
"M01,D17,H23",0.0,0.0,0.0,0.0
"M01,D17,H24",0.0,0.0,0.0,0.0
"M01,D18,H1",0.0,0.0,0.0,0.0
"M01,D18,H2",0.0,0.0,0.0,0.0
"M01,D18,H3",0.0,0.0,0.0,0.0
"M01,D18,H4",0.0,0.0,0.0,0.0
"M01,D18,H5",0.0,0.0,0.0,0.0
"M01,D18,H6",0.0,0.0,0.0,0.0
"M01,D18,H7",0.0,0.0,0.0,0.0
"M01,D18,H8",0.0,0.0,0.0,0.0
"M01,D18,H9",0.0,0.0,0.0,0.0
"M01,D18,H10",0.0,0.0,0.0,0.0
"M01,D18,H11",0.0,0.0,0.0,0.0
"M01,D18,H12",0.0,0.0,0.0,0.0
